CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,ICD10CMCode,concept_code,concept_id
C2844516,ENG,P,L9357705,PF,S11628820,N,A17792356,,,S52.122J,ICD10CM,PT,S52.122J,"Displaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",4,N,,,['Injury or Poisoning'],S52122J,S52.122J,45535161
C2844518,ENG,P,L9357704,PF,S11628818,N,A17805167,,,S52.122M,ICD10CM,PT,S52.122M,"Displaced fracture of head of left radius, subsequent encounter for open fracture type I or II with nonunion",4,N,,,['Injury or Poisoning'],S52122M,S52.122M,45540034
C2844522,ENG,P,L9337338,PF,S11628821,N,A17830889,,,S52.122R,ICD10CM,PT,S52.122R,"Displaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",4,N,,,['Injury or Poisoning'],S52122R,S52.122R,45540035
C2844528,ENG,P,L9347475,PF,S11628849,N,A17830891,,,S52.123D,ICD10CM,PT,S52.123D,"Displaced fracture of head of unspecified radius, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52123D,S52.123D,45573746
C2844538,ENG,P,L9398591,PF,S11628851,N,A17818098,,,S52.123Q,ICD10CM,PT,S52.123Q,"Displaced fracture of head of unspecified radius, subsequent encounter for open fracture type I or II with malunion",4,N,,,['Injury or Poisoning'],S52123Q,S52.123Q,45554450
C2844545,ENG,P,L9340071,PF,S11652116,N,A17792359,,,S52.124D,ICD10CM,PT,S52.124D,"Nondisplaced fracture of head of right radius, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52124D,S52.124D,45607513
C2844580,ENG,P,L9391204,PF,S11652137,N,A17856206,,,S52.126E,ICD10CM,PT,S52.126E,"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type I or II with routine healing",4,N,,,['Injury or Poisoning'],S52126E,S52.126E,45540041
C2844590,ENG,P,L9370875,PF,S11652139,N,A17818107,,,S52.126R,ICD10CM,PT,S52.126R,"Nondisplaced fracture of head of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",4,N,,,['Injury or Poisoning'],S52126R,S52.126R,45559179
C2844597,ENG,P,L9347586,PF,S11629826,N,A17805173,,,S52.131E,ICD10CM,PT,S52.131E,"Displaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with routine healing",4,N,,,['Injury or Poisoning'],S52131E,S52.131E,45563998
C2844600,ENG,P,L9368188,PF,S11629823,N,A17818108,,,S52.131H,ICD10CM,PT,S52.131H,"Displaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with delayed healing",4,N,,,['Injury or Poisoning'],S52131H,S52.131H,45573749
C2844601,ENG,P,L9388673,PF,S11629827,N,A17779634,,,S52.131J,ICD10CM,PT,S52.131J,"Displaced fracture of neck of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",4,N,,,['Injury or Poisoning'],S52131J,S52.131J,45602702
C2844603,ENG,P,L9378530,PF,S11629825,N,A17818109,,,S52.131M,ICD10CM,PT,S52.131M,"Displaced fracture of neck of right radius, subsequent encounter for open fracture type I or II with nonunion",4,N,,,['Injury or Poisoning'],S52131M,S52.131M,45602703
C2844612,ENG,P,L9378525,PF,S11629784,N,A17830902,,,S52.132C,ICD10CM,PT,S52.132C,"Displaced fracture of neck of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",4,N,,,['Injury or Poisoning'],S52132C,S52.132C,45564000
C2844616,ENG,P,L9408935,PF,S11629786,N,A17869087,,,S52.132G,ICD10CM,PT,S52.132G,"Displaced fracture of neck of left radius, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52132G,S52.132G,45578488
C2844617,ENG,P,L9408937,PF,S11629790,N,A17843593,,,S52.132H,ICD10CM,PT,S52.132H,"Displaced fracture of neck of left radius, subsequent encounter for open fracture type I or II with delayed healing",4,N,,,['Injury or Poisoning'],S52132H,S52.132H,45540043
C2844621,ENG,P,L9357836,PF,S11629796,N,A17779639,,,S52.132N,ICD10CM,PT,S52.132N,"Displaced fracture of neck of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",4,N,,,['Injury or Poisoning'],S52132N,S52.132N,45540044
C2844624,ENG,P,L9357835,PF,S11629795,N,A17792363,,,S52.132R,ICD10CM,PT,S52.132R,"Displaced fracture of neck of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",4,N,,,['Injury or Poisoning'],S52132R,S52.132R,45568832
