code,code_type,description,concept_id,code_class,concept_name,domain_id,concept_code,domain_id,concept_class_id,vocabulary_id,mapped_concept_id,mapped_concept_name,mapped_domain_id,mapped_concept_code,mapped_concept_class_id,mapped_vocabulary_id
C11.3,ICD10CM,Malignant neoplasm of anterior wall of nasopharynx,35206098,canc,Malignant neoplasm of anterior wall of nasopharynx,Condition,C11.3,Condition,4-char billing code,ICD10CM,438080,Primary malignant neoplasm of anterior wall of nasopharynx,Condition,93674007,Disorder,SNOMED
C11.8,ICD10CM,Malignant neoplasm of overlapping sites of nasopharynx,35206099,canc,Malignant neoplasm of overlapping sites of nasopharynx,Condition,C11.8,Condition,4-char billing code,ICD10CM,432558,Overlapping malignant neoplasm of nasopharynx,Condition,109367000,Disorder,SNOMED
C11.9,ICD10CM,"Malignant neoplasm of nasopharynx, unspecified",35206100,canc,"Malignant neoplasm of nasopharynx, unspecified",Condition,C11.9,Condition,4-char billing code,ICD10CM,36684473,Primary malignant neoplasm of nasopharynx,Condition,226521000119108,Disorder,SNOMED
C12,ICD10CM,Malignant neoplasm of pyriform sinus,35206101,canc,Malignant neoplasm of pyriform sinus,Condition,C12,Condition,3-char billing code,ICD10CM,435190,Primary malignant neoplasm of pyriform sinus,Condition,93978008,Disorder,SNOMED
C13.0,ICD10CM,Malignant neoplasm of postcricoid region,35206102,canc,Malignant neoplasm of postcricoid region,Condition,C13.0,Condition,4-char billing code,ICD10CM,436922,Primary malignant neoplasm of postcricoid region,Condition,93967000,Disorder,SNOMED
C13.1,ICD10CM,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",35206103,canc,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",Condition,C13.1,Condition,4-char billing code,ICD10CM,434577,Primary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold,Condition,93829002,Disorder,SNOMED
C13.2,ICD10CM,Malignant neoplasm of posterior wall of hypopharynx,35206104,canc,Malignant neoplasm of posterior wall of hypopharynx,Condition,C13.2,Condition,4-char billing code,ICD10CM,435474,Primary malignant neoplasm of posterior hypopharyngeal wall,Condition,93968005,Disorder,SNOMED
C13.8,ICD10CM,Malignant neoplasm of overlapping sites of hypopharynx,35206105,canc,Malignant neoplasm of overlapping sites of hypopharynx,Condition,C13.8,Condition,4-char billing code,ICD10CM,440044,Overlapping malignant neoplasm of hypopharynx,Condition,109368005,Disorder,SNOMED
C13.9,ICD10CM,"Malignant neoplasm of hypopharynx, unspecified",35206106,canc,"Malignant neoplasm of hypopharynx, unspecified",Condition,C13.9,Condition,4-char billing code,ICD10CM,439746,Primary malignant neoplasm of hypopharynx,Condition,93831006,Disorder,SNOMED
C14.0,ICD10CM,"Malignant neoplasm of pharynx, unspecified",35206107,canc,"Malignant neoplasm of pharynx, unspecified",Condition,C14.0,Condition,4-char billing code,ICD10CM,28083,Primary malignant neoplasm of pharynx,Condition,93961004,Disorder,SNOMED
C14.2,ICD10CM,Malignant neoplasm of Waldeyer's ring,35206108,canc,Malignant neoplasm of Waldeyer's ring,Condition,C14.2,Condition,4-char billing code,ICD10CM,432254,Primary malignant neoplasm of Waldeyer's ring,Condition,94144008,Disorder,SNOMED
C14.8,ICD10CM,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",35206109,canc,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",Condition,C14.8,Condition,4-char billing code,ICD10CM,444224,"Overlapping malignant neoplasm of lip, oral cavity and pharynx",Condition,109833003,Disorder,SNOMED
C15.3,ICD10CM,Malignant neoplasm of upper third of esophagus,35206110,canc,Malignant neoplasm of upper third of esophagus,Condition,C15.3,Condition,4-char billing code,ICD10CM,432260,Primary malignant neoplasm of upper third of esophagus,Condition,372023003,Disorder,SNOMED
C15.4,ICD10CM,Malignant neoplasm of middle third of esophagus,35206111,canc,Malignant neoplasm of middle third of esophagus,Condition,C15.4,Condition,4-char billing code,ICD10CM,437805,Primary malignant neoplasm of middle third of esophagus,Condition,371999007,Disorder,SNOMED
C15.5,ICD10CM,Malignant neoplasm of lower third of esophagus,35206112,canc,Malignant neoplasm of lower third of esophagus,Condition,C15.5,Condition,4-char billing code,ICD10CM,193138,Primary malignant neoplasm of lower third of esophagus,Condition,371998004,Disorder,SNOMED
C15.8,ICD10CM,Malignant neoplasm of overlapping sites of esophagus,35206113,canc,Malignant neoplasm of overlapping sites of esophagus,Condition,C15.8,Condition,4-char billing code,ICD10CM,25748,Overlapping malignant neoplasm of esophagus,Condition,109835005,Disorder,SNOMED
C15.9,ICD10CM,"Malignant neoplasm of esophagus, unspecified",35206114,canc,"Malignant neoplasm of esophagus, unspecified",Condition,C15.9,Condition,4-char billing code,ICD10CM,26638,Primary malignant neoplasm of esophagus,Condition,371984007,Disorder,SNOMED
C16.0,ICD10CM,Malignant neoplasm of cardia,35206115,canc,Malignant neoplasm of cardia,Condition,C16.0,Condition,4-char billing code,ICD10CM,432838,Primary malignant neoplasm of cardia of stomach,Condition,93738008,Disorder,SNOMED
C16.1,ICD10CM,Malignant neoplasm of fundus of stomach,35206116,canc,Malignant neoplasm of fundus of stomach,Condition,C16.1,Condition,4-char billing code,ICD10CM,435751,Primary malignant neoplasm of fundus of stomach,Condition,93809003,Disorder,SNOMED
C16.2,ICD10CM,Malignant neoplasm of body of stomach,35206117,canc,Malignant neoplasm of body of stomach,Condition,C16.2,Condition,4-char billing code,ICD10CM,193422,Primary malignant neoplasm of body of stomach,Condition,93717002,Disorder,SNOMED
C16.3,ICD10CM,Malignant neoplasm of pyloric antrum,35206118,canc,Malignant neoplasm of pyloric antrum,Condition,C16.3,Condition,4-char billing code,ICD10CM,438089,Primary malignant neoplasm of pyloric antrum,Condition,93976007,Disorder,SNOMED
C16.4,ICD10CM,Malignant neoplasm of pylorus,35206119,canc,Malignant neoplasm of pylorus,Condition,C16.4,Condition,4-char billing code,ICD10CM,192255,Primary malignant neoplasm of pylorus,Condition,93977003,Disorder,SNOMED
C16.5,ICD10CM,"Malignant neoplasm of lesser curvature of stomach, unspecified",35206120,canc,"Malignant neoplasm of lesser curvature of stomach, unspecified",Condition,C16.5,Condition,4-char billing code,ICD10CM,434292,Primary malignant neoplasm of lesser curvature of stomach,Condition,93867004,Disorder,SNOMED
C16.6,ICD10CM,"Malignant neoplasm of greater curvature of stomach, unspecified",35206121,canc,"Malignant neoplasm of greater curvature of stomach, unspecified",Condition,C16.6,Condition,4-char billing code,ICD10CM,437224,Primary malignant neoplasm of greater curvature of stomach,Condition,93818001,Disorder,SNOMED
C16.8,ICD10CM,Malignant neoplasm of overlapping sites of stomach,35206122,canc,Malignant neoplasm of overlapping sites of stomach,Condition,C16.8,Condition,4-char billing code,ICD10CM,197803,Overlapping malignant neoplasm of stomach,Condition,109836006,Disorder,SNOMED
C16.9,ICD10CM,"Malignant neoplasm of stomach, unspecified",35206123,canc,"Malignant neoplasm of stomach, unspecified",Condition,C16.9,Condition,4-char billing code,ICD10CM,196044,Primary malignant neoplasm of stomach,Condition,372014001,Disorder,SNOMED
C17.0,ICD10CM,Malignant neoplasm of duodenum,35206124,canc,Malignant neoplasm of duodenum,Condition,C17.0,Condition,4-char billing code,ICD10CM,435752,Primary malignant neoplasm of duodenum,Condition,93775003,Disorder,SNOMED
C17.1,ICD10CM,Malignant neoplasm of jejunum,35206125,canc,Malignant neoplasm of jejunum,Condition,C17.1,Condition,4-char billing code,ICD10CM,436913,Primary malignant neoplasm of jejunum,Condition,93846004,Disorder,SNOMED
C17.2,ICD10CM,Malignant neoplasm of ileum,35206126,canc,Malignant neoplasm of ileum,Condition,C17.2,Condition,4-char billing code,ICD10CM,4311480,Primary malignant neoplasm of ileum,Condition,93832004,Disorder,SNOMED
C17.3,ICD10CM,"Meckel's diverticulum, malignant",35206127,canc,"Meckel's diverticulum, malignant",Condition,C17.3,Condition,4-char billing code,ICD10CM,432256,Primary malignant neoplasm of Meckel's diverticulum,Condition,93890009,Disorder,SNOMED
C17.8,ICD10CM,Malignant neoplasm of overlapping sites of small intestine,35206128,canc,Malignant neoplasm of overlapping sites of small intestine,Condition,C17.8,Condition,4-char billing code,ICD10CM,199747,Overlapping malignant neoplasm of small intestine,Condition,109837002,Disorder,SNOMED
C17.9,ICD10CM,"Malignant neoplasm of small intestine, unspecified",35206129,canc,"Malignant neoplasm of small intestine, unspecified",Condition,C17.9,Condition,4-char billing code,ICD10CM,192836,Primary malignant neoplasm of small intestine,Condition,94048009,Disorder,SNOMED
C18.0,ICD10CM,Malignant neoplasm of cecum,35206130,canc,Malignant neoplasm of cecum,Condition,C18.0,Condition,4-char billing code,ICD10CM,432837,Primary malignant neoplasm of cecum,Condition,371977004,Disorder,SNOMED
C18.1,ICD10CM,Malignant neoplasm of appendix,35206131,canc,Malignant neoplasm of appendix,Condition,C18.1,Condition,4-char billing code,ICD10CM,433143,Primary malignant neoplasm of appendix,Condition,93679002,Disorder,SNOMED
C18.2,ICD10CM,Malignant neoplasm of ascending colon,35206132,canc,Malignant neoplasm of ascending colon,Condition,C18.2,Condition,4-char billing code,ICD10CM,4247719,Primary malignant neoplasm of ascending colon,Condition,93683002,Disorder,SNOMED
C18.3,ICD10CM,Malignant neoplasm of hepatic flexure,35206133,canc,Malignant neoplasm of hepatic flexure,Condition,C18.3,Condition,4-char billing code,ICD10CM,438979,Primary malignant neoplasm of hepatic flexure of colon,Condition,93826009,Disorder,SNOMED
C18.4,ICD10CM,Malignant neoplasm of transverse colon,35206134,canc,Malignant neoplasm of transverse colon,Condition,C18.4,Condition,4-char billing code,ICD10CM,432257,Primary malignant neoplasm of transverse colon,Condition,94105000,Disorder,SNOMED
C18.5,ICD10CM,Malignant neoplasm of splenic flexure,35206135,canc,Malignant neoplasm of splenic flexure,Condition,C18.5,Condition,4-char billing code,ICD10CM,437798,Primary malignant neoplasm of splenic flexure of colon,Condition,94072004,Disorder,SNOMED
C18.6,ICD10CM,Malignant neoplasm of descending colon,35206136,canc,Malignant neoplasm of descending colon,Condition,C18.6,Condition,4-char billing code,ICD10CM,441800,Primary malignant neoplasm of descending colon,Condition,93771007,Disorder,SNOMED
C18.7,ICD10CM,Malignant neoplasm of sigmoid colon,35206137,canc,Malignant neoplasm of sigmoid colon,Condition,C18.7,Condition,4-char billing code,ICD10CM,436635,Primary malignant neoplasm of sigmoid colon,Condition,94006002,Disorder,SNOMED
C18.8,ICD10CM,Malignant neoplasm of overlapping sites of colon,35206138,canc,Malignant neoplasm of overlapping sites of colon,Condition,C18.8,Condition,4-char billing code,ICD10CM,79740,Overlapping malignant neoplasm of colon,Condition,109838007,Disorder,SNOMED
C18.9,ICD10CM,"Malignant neoplasm of colon, unspecified",35206139,canc,"Malignant neoplasm of colon, unspecified",Condition,C18.9,Condition,4-char billing code,ICD10CM,197500,Primary malignant neoplasm of colon,Condition,93761005,Disorder,SNOMED
C19,ICD10CM,Malignant neoplasm of rectosigmoid junction,35206140,canc,Malignant neoplasm of rectosigmoid junction,Condition,C19,Condition,3-char billing code,ICD10CM,438699,Primary malignant neoplasm of rectosigmoid junction,Condition,93980002,Disorder,SNOMED
C20,ICD10CM,Malignant neoplasm of rectum,35206141,canc,Malignant neoplasm of rectum,Condition,C20,Condition,3-char billing code,ICD10CM,74582,Primary malignant neoplasm of rectum,Condition,93984006,Disorder,SNOMED
C21.0,ICD10CM,"Malignant neoplasm of anus, unspecified",35206142,canc,"Malignant neoplasm of anus, unspecified",Condition,C21.0,Condition,4-char billing code,ICD10CM,80045,Primary malignant neoplasm of anus,Condition,93676009,Disorder,SNOMED
C21.1,ICD10CM,Malignant neoplasm of anal canal,35206143,canc,Malignant neoplasm of anal canal,Condition,C21.1,Condition,4-char billing code,ICD10CM,436348,Primary malignant neoplasm of anal canal,Condition,93669004,Disorder,SNOMED
C21.2,ICD10CM,Malignant neoplasm of cloacogenic zone,35206144,canc,Malignant neoplasm of cloacogenic zone,Condition,C21.2,Condition,4-char billing code,ICD10CM,4003675,Primary malignant neoplasm of cloacogenic zone,Condition,109840002,Disorder,SNOMED
C21.8,ICD10CM,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",35206145,canc,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",Condition,C21.8,Condition,4-char billing code,ICD10CM,438090,"Overlapping malignant neoplasm of rectum, anus and anal canal",Condition,109839004,Disorder,SNOMED
C22.0,ICD10CM,Liver cell carcinoma,35206146,canc,Liver cell carcinoma,Condition,C22.0,Condition,4-char billing code,ICD10CM,4001171,Liver cell carcinoma,Condition,109841003,Disorder,SNOMED
C22.1,ICD10CM,Intrahepatic bile duct carcinoma,35206147,canc,Intrahepatic bile duct carcinoma,Condition,C22.1,Condition,4-char billing code,ICD10CM,4001664,Intrahepatic bile duct carcinoma,Condition,109842005,Disorder,SNOMED
C22.2,ICD10CM,Hepatoblastoma,35206148,canc,Hepatoblastoma,Condition,C22.2,Condition,4-char billing code,ICD10CM,4001172,Hepatoblastoma,Condition,109843000,Disorder,SNOMED
C22.3,ICD10CM,Angiosarcoma of liver,35206149,canc,Angiosarcoma of liver,Condition,C22.3,Condition,4-char billing code,ICD10CM,4003021,Angiosarcoma of liver,Condition,109844006,Disorder,SNOMED
C22.4,ICD10CM,Other sarcomas of liver,35206150,canc,Other sarcomas of liver,Condition,C22.4,Condition,4-char billing code,ICD10CM,4115271,Sarcoma of liver,Condition,254601002,Disorder,SNOMED
C22.7,ICD10CM,Other specified carcinomas of liver,35206151,canc,Other specified carcinomas of liver,Condition,C22.7,Condition,4-char billing code,ICD10CM,4094864,Primary carcinoma of liver,Condition,187769009,Disorder,SNOMED
