code,code_type,description,concept_id,code_class,concept_name,domain_id,concept_code,domain_id,concept_class_id,vocabulary_id,mapped_concept_id,mapped_concept_name,mapped_domain_id,mapped_concept_code,mapped_concept_class_id,mapped_vocabulary_id
F10.20,ICD10CM,"Alcohol dependence, uncomplicated",45586187,alcohol,"Alcohol dependence, uncomplicated",Condition,F10.20,Condition,5-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.21,ICD10CM,"Alcohol dependence, in remission",45581405,alcohol,"Alcohol dependence, in remission",Condition,F10.21,Condition,5-char billing code,ICD10CM,439005,Chronic alcoholism in remission,Condition,191813001,Disorder,SNOMED
F10.220,ICD10CM,"Alcohol dependence with intoxication, uncomplicated",45586188,alcohol,"Alcohol dependence with intoxication, uncomplicated",Condition,F10.220,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.221,ICD10CM,Alcohol dependence with intoxication delirium,45586189,alcohol,Alcohol dependence with intoxication delirium,Condition,F10.221,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.221,ICD10CM,Alcohol dependence with intoxication delirium,45586189,alcohol,Alcohol dependence with intoxication delirium,Condition,F10.221,Condition,6-char billing code,ICD10CM,4088373,Alcohol intoxication delirium,Condition,18653004,Disorder,SNOMED
F10.229,ICD10CM,"Alcohol dependence with intoxication, unspecified",45538007,alcohol,"Alcohol dependence with intoxication, unspecified",Condition,F10.229,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.230,ICD10CM,"Alcohol dependence with withdrawal, uncomplicated",45586190,alcohol,"Alcohol dependence with withdrawal, uncomplicated",Condition,F10.230,Condition,6-char billing code,ICD10CM,375519,Alcohol withdrawal,Condition,191480000,Disorder,SNOMED
F10.230,ICD10CM,"Alcohol dependence with withdrawal, uncomplicated",45586190,alcohol,"Alcohol dependence with withdrawal, uncomplicated",Condition,F10.230,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.231,ICD10CM,Alcohol dependence with withdrawal delirium,45552431,alcohol,Alcohol dependence with withdrawal delirium,Condition,F10.231,Condition,6-char billing code,ICD10CM,377830,Alcohol withdrawal delirium,Condition,8635005,Disorder,SNOMED
F10.231,ICD10CM,Alcohol dependence with withdrawal delirium,45552431,alcohol,Alcohol dependence with withdrawal delirium,Condition,F10.231,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
