CUI,CODE,STR
C2903153,N99-N99,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified (N99)"
C0156543,O00-O08,Pregnancy with abortive outcome (O00-O08)
C3264513,O00-O9A,"Pregnancy, childbirth and the puerperium (O00-O9A)"
C2977268,O09-O09,Supervision of high risk pregnancy (O09)
C0477811,O10-O16,"Edema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)"
C0477812,O20-O29,Other maternal disorders predominantly related to pregnancy (O20-O29)
C0477822,O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems (O30-O48)
C0269815,O60-O77,Complications of labor and delivery (O60-O77)
C2977483,O80-O82,Encounter for delivery (O80-O82)
C0477865,O85-O92,Complications predominantly related to the puerperium (O85-O92)
C0869075,O94-O9A,"Other obstetric conditions, not elsewhere classified (O94-O9A)"
C2909775,P00-P04,"Newborn affected by maternal factors and by complications of pregnancy, labor, and delivery (P00-P04)"
C0178307,P00-P96,Certain conditions originating in the perinatal period (P00-P96)
C2909896,P05-P08,Disorders of newborn related to length of gestation and fetal growth (P05-P08)
C2909961,P09-P09,Abnormal findings on neonatal screening (P09)
C0005604,P10-P15,Birth trauma (P10-P15)
C0477906,P19-P29,Respiratory and cardiovascular disorders specific to the perinatal period (P19-P29)
C0158944,P35-P39,Infections specific to the perinatal period (P35-P39)
C2910026,P50-P61,Hemorrhagic and hematological disorders of newborn (P50-P61)
C2910066,P70-P74,Transitory endocrine and metabolic disorders specific to newborn (P70-P74)
C2910075,P76-P78,Digestive system disorders of newborn (P76-P78)
C2910081,P80-P83,Conditions involving the integument and temperature regulation of newborn (P80-P83)
C2910092,P84-P84,Other problems with newborn (P84)
C0477962,P90-P96,Other disorders originating in the perinatal period (P90-P96)
C0497552,Q00-Q07,Congenital malformations of the nervous system (Q00-Q07)
C0694457,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"
C0477977,Q10-Q18,"Congenital malformations of eye, ear, face and neck (Q10-Q18)"
C0478013,Q20-Q28,Congenital malformations of the circulatory system (Q20-Q28)
C0035238,Q30-Q34,Congenital malformations of the respiratory system (Q30-Q34)
C0158646,Q35-Q37,Cleft lip and cleft palate (Q35-Q37)
C0158678,Q38-Q45,Other congenital malformations of the digestive system (Q38-Q45)
C0158687,Q50-Q56,Congenital malformations of genital organs (Q50-Q56)
C0158698,Q60-Q64,Congenital malformations of the urinary system (Q60-Q64)
C0151491,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system (Q65-Q79)
C0158795,Q80-Q89,Other congenital malformations (Q80-Q89)
C0694458,Q90-Q99,"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)"
C0478110,R00-R09,Symptoms and signs involving the circulatory and respiratory systems (R00-R09)
C0694459,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"
C0478117,R10-R19,Symptoms and signs involving the digestive system and abdomen (R10-R19)
C0478122,R20-R23,Symptoms and signs involving the skin and subcutaneous tissue (R20-R23)
C0478125,R25-R29,Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29)
C2830334,R30-R39,Symptoms and signs involving the genitourinary system (R30-R39)
C0478134,R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behavior (R40-R46)"
C0478143,R47-R49,Symptoms and signs involving speech and voice (R47-R49)
C0478147,R50-R69,General symptoms and signs (R50-R69)
C0478158,R70-R79,"Abnormal findings on examination of blood, without diagnosis (R70-R79)"
C0478169,R80-R82,"Abnormal findings on examination of urine, without diagnosis (R80-R82)"
C0478171,R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis (R83-R89)"
C0478186,R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis (R90-R94)"
C1719651,R97-R97,Abnormal tumor markers (R97)
C0478195,R99-R99,Ill-defined and unknown cause of mortality (R99)
C0018674,S00-S09,Injuries to the head (S00-S09)
C2977675,S00-T88,"Injury, poisoning and certain other consequences of external causes (S00-T88)"
C0027531,S10-S19,Injuries to the neck (S10-S19)
C0039980,S20-S29,Injuries to the thorax (S20-S29)
C2836548,S30-S39,"Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals (S30-S39)"
C0272440,S40-S49,Injuries to the shoulder and upper arm (S40-S49)
C0348771,S50-S59,Injuries to the elbow and forearm (S50-S59)
C2848916,S60-S69,"Injuries to the wrist, hand and fingers (S60-S69)"
C0272445,S70-S79,Injuries to the hip and thigh (S70-S79)
C0478332,S80-S89,Injuries to the knee and lower leg (S80-S89)
C0348772,S90-S99,Injuries to the ankle and foot (S90-S99)
C0478365,T07-T07,Injuries involving multiple body regions (T07)
C4270110,T07-T88,"Injury, poisoning and certain other consequences of external causes (T07-T88)"
C0496020,T14-T14,Injury of unspecified body region (T14)
C0478399,T15-T19,Effects of foreign body entering through natural orifice (T15-T19)
C0694461,T20-T25,"Burns and corrosions of external body surface, specified by site (T20-T25)"
C4270112,T20-T32,Burns and corrosions (T20-T32)
C0694462,T26-T28,Burns and corrosions confined to eye and internal organs (T26-T28)
C0694463,T30-T32,Burns and corrosions of multiple and unspecified body regions (T30-T32)
C0016736,T33-T34,Frostbite (T33-T34)
C2876538,T36-T50,"Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)"
C0274829,T51-T65,Toxic effects of substances chiefly nonmedicinal as to source (T51-T65)
C0013679,T66-T78,Other and unspecified effects of external causes (T66-T78)
C0161480,T79-T79,Certain early complications of trauma (T79)
C0869272,T80-T88,"Complications of surgical and medical care, not elsewhere classified (T80-T88)"
C5385370,U00-U49,Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)
C5385369,U00-U85,Codes for special purposes (U00-U85)
C0476747,V00-V09,Pedestrian injured in transport accident (V00-V09)
C4270668,V00-V99,Transport accidents (V00-V99)
C4270667,V00-X58,Accidents (V00-X58)
C2891384,V00-Y99,External causes of morbidity (V00-Y99)
C2892024,V10-V19,Pedal cycle rider injured in transport accident (V10-V19)
C0476831,V20-V29,Motorcycle rider injured in transport accident (V20-V29)
C0476914,V30-V39,Occupant of three-wheeled motor vehicle injured in transport accident (V30-V39)
C0476961,V40-V49,Car occupant injured in transport accident (V40-V49)
C0476982,V50-V59,Occupant of pick-up truck or van injured in transport accident (V50-V59)
C0477005,V60-V69,Occupant of heavy transport vehicle injured in transport accident (V60-V69)
C0477044,V70-V79,Bus occupant injured in transport accident (V70-V79)
C0477145,V80-V89,Other land transport accidents (V80-V89)
C4721415,V90-V94,Water transport accidents (V90-V94)
C0178350,V95-V97,Air and space transport accidents (V95-V97)
C0477296,V98-V99,Other and unspecified transport accidents (V98-V99)
C2900154,W00-W19,"Slipping, tripping, stumbling and falls (W00-W19)"
C4270687,W00-X58,Other external causes of accidental injury (W00-X58)
C0337242,W20-W49,Exposure to inanimate mechanical forces (W20-W49)
C0337266,W50-W64,Exposure to animate mechanical forces (W50-W64)
C2905125,W65-W74,Accidental non-transport drowning and submersion (W65-W74)
C0694465,W85-W99,"Exposure to electric current, radiation and extreme ambient air temperature and pressure (W85-W99)"
C0497045,X00-X08,"Exposure to smoke, fire and flames (X00-X08)"
C0479665,X10-X19,Contact with heat and hot substances (X10-X19)
C0479866,X30-X39,Exposure to forces of nature (X30-X39)
C4270703,X50-X50,Overexertion and strenuous or repetitive movements (X50)
C2977343,X52-X58,Accidental exposure to other specified factors (X52-X58)
C0480203,X71-X83,Intentional self-harm (X71-X83)
C4270735,X92-Y09,Assault (X92-Y09)
C2977395,Y21-Y33,Event of undetermined intent (Y21-Y33)
C2906212,Y35-Y38,"Legal intervention, operations of war, military operations, and terrorism (Y35-Y38)"
C0481263,Y62-Y69,Misadventures to patients during surgical and medical care (Y62-Y69)
C4270736,Y62-Y84,Complications of medical and surgical care (Y62-Y84)
C0481264,Y70-Y82,Medical devices associated with adverse incidents in diagnostic and therapeutic use (Y70-Y82)
C0694466,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure (Y83-Y84)"
C2907636,Y90-Y99,Supplementary factors related to causes of morbidity classified elsewhere (Y90-Y99)
C2910443,Z00-Z13,Persons encountering health services for examinations (Z00-Z13)
C0178336,Z00-Z99,Factors influencing health status and contact with health services (Z00-Z99)
C2910640,Z14-Z15,Genetic carrier and genetic susceptibility to disease (Z14-Z15)
C3264056,Z16-Z16,Resistance to antimicrobial drugs (Z16)
C5926987,Z17-Z17,"Estrogen, and other hormones and factors receptor status (Z17)"
C2977631,Z18-Z18,Retained foreign body fragments (Z18)
C4270757,Z19-Z19,Hormone sensitivity malignancy status (Z19)
C4270760,Z20-Z29,Persons with potential health hazards related to communicable diseases (Z20-Z29)
C0478556,Z30-Z39,Persons encountering health services in circumstances related to reproduction (Z30-Z39)
C2910784,Z40-Z53,Encounters for other specific health care (Z40-Z53)
C0478589,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances (Z55-Z65)
C0582114,Z66-Z66,Do not resuscitate status (Z66)
C2911644,Z67-Z67,Blood type (Z67)
C2240399,Z68-Z68,Body mass index [BMI] (Z68)
C0178343,Z69-Z76,Persons encountering health services in other circumstances (Z69-Z76)
C0478618,Z77-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99)
