CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,PREFIX_CODE,ICD10CMCode,concept_code,concept_id,domain_id
C0012557,ENG,P,L0012557,PF,S0217604,N,A17798962,,,A36.2,ICD10CM,PT,A36.2,Laryngeal diphtheria,4,N,256.0,,['Disease or Syndrome'],A36,A362,A36.2,35205534,Condition
C0013312,ENG,S,L0820968,PF,S0983103,N,A17776442,,,M72.0,ICD10CM,PT,M72.0,Palmar fascial fibromatosis [Dupuytren],4,N,,,['Disease or Syndrome'],M72,M720,M72.0,35208980,Condition
C0013378,ENG,S,L0314571,PF,S0394972,N,A17777754,,,R43.2,ICD10CM,PT,R43.2,Parageusia,4,N,256.0,,['Finding'],R43,R432,R43.2,35211353,Condition
C0013537,ENG,S,L0654280,PF,S0867615,N,A17777023,,,O15.9,ICD10CM,PT,O15.9,"Eclampsia, unspecified as to time period",4,N,,,['Disease or Syndrome'],O15,O159,O15.9,35209551,Condition
C0013570,ENG,S,L0388729,PF,S0501355,N,A17773546,,,B08.02,ICD10CM,PT,B08.02,Orf virus disease,4,N,256.0,,['Disease or Syndrome'],B08,B0802,B08.02,45552211,Condition
C0013691,ENG,P,L0013691,PF,S0618213,N,A17826633,,,J94.0,ICD10CM,PT,J94.0,Chylous effusion,4,N,256.0,,['Disease or Syndrome'],J94,J940,J94.0,35208088,Condition
C0013924,ENG,P,L0013924,PF,S0218264,N,A17839225,,,I74.9,ICD10CM,PT,I74.9,Embolism and thrombosis of unspecified artery,4,N,,,['Pathologic Function'],I74,I749,I74.9,35207867,Condition
C0014061,ENG,S,L0522026,PF,S0746442,N,A17862820,,,A84.9,ICD10CM,PT,A84.9,"Tick-borne viral encephalitis, unspecified",4,N,256.0,,['Disease or Syndrome'],A84,A849,A84.9,35205683,Condition
C0014130,ENG,S,L0181062,VCW,S0870018,N,A17786905,,,E34.9,ICD10CM,PT,E34.9,"Endocrine disorder, unspecified",4,N,256.0,,['Disease or Syndrome'],E34,E349,E34.9,35206962,Condition
C0014173,ENG,S,L5189057,PF,S5925748,Y,A17866415,,,N85.00,ICD10CM,PT,N85.00,"Endometrial hyperplasia, unspecified",4,N,256.0,,['Disease or Syndrome'],N85,N8500,N85.00,45577542,Condition
