CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,PREFIX_CODE,ICD10CMCode,concept_code,concept_id,domain_id
C2855298,ENG,P,L9374209,PF,S11680146,N,A17819390,,,S66.314D,ICD10CM,PT,S66.314D,"Strain of extensor muscle, fascia and tendon of right ring finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66314D,S66.314D,45545362,Condition
C2855301,ENG,P,L9404653,PF,S11680102,N,A17780941,,,S66.315A,ICD10CM,PT,S66.315A,"Strain of extensor muscle, fascia and tendon of left ring finger at wrist and hand level, initial encounter",4,N,,,['Injury or Poisoning'],S66,S66315A,S66.315A,45554945,Condition
C2855357,ENG,P,L9390161,PF,S11643064,Y,A17819398,,,S66.328D,ICD10CM,PT,S66.328D,"Laceration of extensor muscle, fascia and tendon of other finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66328D,S66.328D,45535701,Condition
C2855395,ENG,P,L9351313,PF,S11660970,N,A17819403,,,S66.397S,ICD10CM,PT,S66.397S,"Other injury of extensor muscle, fascia and tendon of left little finger at wrist and hand level, sequela",4,N,,,['Injury or Poisoning'],S66,S66397S,S66.397S,45545367,Condition
C2855404,ENG,P,L9392226,PF,S11661046,Y,A17832212,,,S66.399S,ICD10CM,PT,S66.399S,"Other injury of extensor muscle, fascia and tendon of unspecified finger at wrist and hand level, sequela",4,N,,,['Injury or Poisoning'],S66,S66399S,S66.399S,45579045,Condition
C2855429,ENG,P,L9593128,PF,S12057377,N,A18917089,,,S66.419A,ICD10CM,PT,S66.419A,"Strain of intrinsic muscle, fascia and tendon of unspecified thumb at wrist and hand level, initial encounter",4,N,,,['Injury or Poisoning'],S66,S66419A,S66.419A,45554952,Condition
C2855430,ENG,P,L9595334,PF,S12057379,N,A18924912,,,S66.419D,ICD10CM,PT,S66.419D,"Strain of intrinsic muscle, fascia and tendon of unspecified thumb at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66419D,S66.419D,45583882,Condition
C2855435,ENG,P,L9380069,PF,S11643348,Y,A17832213,,,S66.421D,ICD10CM,PT,S66.421D,"Laceration of intrinsic muscle, fascia and tendon of right thumb at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66421D,S66.421D,45559674,Condition
C2855444,ENG,P,L9593932,PF,S12054963,Y,A18919718,,,S66.429S,ICD10CM,PT,S66.429S,"Laceration of intrinsic muscle, fascia and tendon of unspecified thumb at wrist and hand level, sequela",4,N,,,['Injury or Poisoning'],S66,S66429S,S66.429S,45583883,Condition
C2855449,ENG,P,L9596292,PF,S12056115,Y,A18909183,,,S66.491S,ICD10CM,PT,S66.491S,"Other specified injury of intrinsic muscle, fascia and tendon of right thumb at wrist and hand level, sequela",4,N,,,['Injury or Poisoning'],S66,S66491S,S66.491S,45608050,Condition
C2855453,ENG,P,L9592991,PF,S12056111,Y,A18911811,,,S66.492S,ICD10CM,PT,S66.492S,"Other specified injury of intrinsic muscle, fascia and tendon of left thumb at wrist and hand level, sequela",4,N,,,['Injury or Poisoning'],S66,S66492S,S66.492S,45579048,Condition
C2855457,ENG,P,L9594648,PF,S12056120,Y,A18911813,,,S66.499S,ICD10CM,PT,S66.499S,"Other specified injury of intrinsic muscle, fascia and tendon of unspecified thumb at wrist and hand level, sequela",4,N,,,['Injury or Poisoning'],S66,S66499S,S66.499S,45603267,Condition
C2855470,ENG,P,L9354934,PF,S11691141,Y,A17832218,,,S66.502D,ICD10CM,PT,S66.502D,"Unspecified injury of intrinsic muscle, fascia and tendon of right middle finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66502D,S66.502D,45603268,Condition
C2855478,ENG,P,L9344734,PF,S11691145,Y,A17832219,,,S66.504D,ICD10CM,PT,S66.504D,"Unspecified injury of intrinsic muscle, fascia and tendon of right ring finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66504D,S66.504D,45550160,Condition
C2855489,ENG,P,L9354932,PF,S11691110,Y,A17780974,,,S66.507A,ICD10CM,PT,S66.507A,"Unspecified injury of intrinsic muscle, fascia and tendon of left little finger at wrist and hand level, initial encounter",4,N,,,['Injury or Poisoning'],S66,S66507A,S66.507A,45579052,Condition
C2855494,ENG,P,L9371990,PF,S11691127,Y,A17844954,,,S66.508A,ICD10CM,PT,S66.508A,"Unspecified injury of intrinsic muscle, fascia and tendon of other finger at wrist and hand level, initial encounter",4,N,,,['Injury or Poisoning'],S66,S66508A,S66.508A,45550162,Condition
C2855495,ENG,P,L9412762,PF,S11691129,Y,A17780976,,,S66.508D,ICD10CM,PT,S66.508D,"Unspecified injury of intrinsic muscle, fascia and tendon of other finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66508D,S66.508D,45564527,Condition
C2855498,ENG,P,L9344736,PF,S11691157,Y,A17806529,,,S66.509A,ICD10CM,PT,S66.509A,"Unspecified injury of intrinsic muscle, fascia and tendon of unspecified finger at wrist and hand level, initial encounter",4,N,,,['Injury or Poisoning'],S66,S66509A,S66.509A,45603271,Condition
C2855508,ENG,P,L9353594,PF,S11680282,Y,A17844957,,,S66.511D,ICD10CM,PT,S66.511D,"Strain of intrinsic muscle, fascia and tendon of left index finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66511D,S66.511D,45569377,Condition
C2855511,ENG,P,L9415030,PF,S11680313,Y,A17780978,,,S66.512A,ICD10CM,PT,S66.512A,"Strain of intrinsic muscle, fascia and tendon of right middle finger at wrist and hand level, initial encounter",4,N,,,['Injury or Poisoning'],S66,S66512A,S66.512A,45545371,Condition
C2855515,ENG,P,L9394471,PF,S11680288,Y,A17844959,,,S66.513A,ICD10CM,PT,S66.513A,"Strain of intrinsic muscle, fascia and tendon of left middle finger at wrist and hand level, initial encounter",4,N,,,['Injury or Poisoning'],S66,S66513A,S66.513A,45593613,Condition
C2855554,ENG,P,L9359476,PF,S11643340,Y,A17793649,,,S66.522D,ICD10CM,PT,S66.522D,"Laceration of intrinsic muscle, fascia and tendon of right middle finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66522D,S66.522D,45579056,Condition
C2855558,ENG,P,L9410592,PF,S11643315,Y,A17870371,,,S66.523D,ICD10CM,PT,S66.523D,"Laceration of intrinsic muscle, fascia and tendon of left middle finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66523D,S66.523D,45554958,Condition
C2855563,ENG,P,L9359477,PF,S11643343,Y,A17832231,,,S66.524S,ICD10CM,PT,S66.524S,"Laceration of intrinsic muscle, fascia and tendon of right ring finger at wrist and hand level, sequela",4,N,,,['Injury or Poisoning'],S66,S66524S,S66.524S,45559681,Condition
C2855574,ENG,P,L9390190,PF,S11643311,Y,A17806535,,,S66.527D,ICD10CM,PT,S66.527D,"Laceration of intrinsic muscle, fascia and tendon of left little finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66527D,S66.527D,45535707,Condition
C2855579,ENG,P,L9349214,PF,S11643328,N,A17857505,,,S66.528D,ICD10CM,PT,S66.528D,"Laceration of intrinsic muscle, fascia and tendon of other finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66528D,S66.528D,45593615,Condition
C2855595,ENG,P,L9402407,PF,S11661243,Y,A17844967,,,S66.592A,ICD10CM,PT,S66.592A,"Other injury of intrinsic muscle, fascia and tendon of right middle finger at wrist and hand level, initial encounter",4,N,,,['Injury or Poisoning'],S66,S66592A,S66.592A,45588739,Condition
C2855601,ENG,P,L9361687,PF,S11661219,Y,A17832237,,,S66.593S,ICD10CM,PT,S66.593S,"Other injury of intrinsic muscle, fascia and tendon of left middle finger at wrist and hand level, sequela",4,N,,,['Injury or Poisoning'],S66,S66593S,S66.593S,45545376,Condition
C2855604,ENG,P,L9361691,PF,S11661249,Y,A17806540,,,S66.594D,ICD10CM,PT,S66.594D,"Other injury of intrinsic muscle, fascia and tendon of right ring finger at wrist and hand level, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66594D,S66.594D,45540544,Condition
C2855652,ENG,P,L9595916,PF,S12057461,N,A18906558,,,S66.819D,ICD10CM,PT,S66.819D,"Strain of other specified muscles, fascia and tendons at wrist and hand level, unspecified hand, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66819D,S66.819D,45603281,Condition
C2855675,ENG,P,L9594043,PF,S12055906,N,A18922288,,,S66.892S,ICD10CM,PT,S66.892S,"Other injury of other specified muscles, fascia and tendons at wrist and hand level, left hand, sequela",4,N,,,['Injury or Poisoning'],S66,S66892S,S66.892S,45583896,Condition
C2855679,ENG,P,L9595164,PF,S12055914,N,A18906563,,,S66.899S,ICD10CM,PT,S66.899S,"Other injury of other specified muscles, fascia and tendons at wrist and hand level, unspecified hand, sequela",4,N,,,['Injury or Poisoning'],S66,S66899S,S66.899S,45569382,Condition
C2855705,ENG,P,L9596971,PF,S12954599,Y,A20138471,,,S66.919D,ICD10CM,PT,S66.919D,"Strain of unspecified muscle, fascia and tendon at wrist and hand level, unspecified hand, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66919D,S66.919D,45559688,Condition
C2855710,ENG,P,L9593403,PF,S12055112,N,A18909192,,,S66.921D,ICD10CM,PT,S66.921D,"Laceration of unspecified muscle, fascia and tendon at wrist and hand level, right hand, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66921D,S66.921D,45559689,Condition
C2855714,ENG,P,L9596731,PF,S12055108,Y,A18922291,,,S66.922D,ICD10CM,PT,S66.922D,"Laceration of unspecified muscle, fascia and tendon at wrist and hand level, left hand, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66922D,S66.922D,45608059,Condition
C2855731,ENG,P,L9594044,PF,S12946636,N,A20138476,,,S66.999D,ICD10CM,PT,S66.999D,"Other injury of unspecified muscle, fascia and tendon at wrist and hand level, unspecified hand, subsequent encounter",4,N,,,['Injury or Poisoning'],S66,S66999D,S66.999D,45593621,Condition
C2855748,ENG,P,L9388157,PF,S11625556,Y,A18917107,,,S67.10XD,ICD10CM,PT,S67.10XD,"Crushing injury of unspecified finger(s), subsequent encounter",4,N,,,['Injury or Poisoning'],S67,S6710XD,S67.10XD,45554963,Condition
C2855804,ENG,P,L9388140,PF,S11625412,Y,A18911826,,,S67.32XA,ICD10CM,PT,S67.32XA,"Crushing injury of left wrist, initial encounter",4,N,,,['Injury or Poisoning'],S67,S6732XA,S67.32XA,45583901,Condition
C2855865,ENG,P,L9407853,PF,S11621065,N,A17870409,,,S68.110S,ICD10CM,PT,S68.110S,"Complete traumatic metacarpophalangeal amputation of right index finger, sequela",4,N,,,['Injury or Poisoning'],S68,S68110S,S68.110S,45545392,Condition
C2855867,ENG,P,L9387611,PF,S11621039,Y,A17793687,,,S68.111A,ICD10CM,PT,S68.111A,"Complete traumatic metacarpophalangeal amputation of left index finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68111A,S68.111A,45593625,Condition
C2855871,ENG,P,L9397632,PF,S11621072,N,A17806585,,,S68.112A,ICD10CM,PT,S68.112A,"Complete traumatic metacarpophalangeal amputation of right middle finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68112A,S68.112A,45593626,Condition
C2855873,ENG,P,L9387615,PF,S11621073,N,A17806586,,,S68.112S,ICD10CM,PT,S68.112S,"Complete traumatic metacarpophalangeal amputation of right middle finger, sequela",4,N,,,['Injury or Poisoning'],S68,S68112S,S68.112S,45579076,Condition
C2855877,ENG,P,L9397627,PF,S11621048,N,A17870412,,,S68.113S,ICD10CM,PT,S68.113S,"Complete traumatic metacarpophalangeal amputation of left middle finger, sequela",4,N,,,['Injury or Poisoning'],S68,S68113S,S68.113S,45559694,Condition
C2855883,ENG,P,L9356789,PF,S11621051,N,A17832270,,,S68.115A,ICD10CM,PT,S68.115A,"Complete traumatic metacarpophalangeal amputation of left ring finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68115A,S68.115A,45579077,Condition
C2855888,ENG,P,L9387614,PF,S11621070,N,A17857546,,,S68.116D,ICD10CM,PT,S68.116D,"Complete traumatic metacarpophalangeal amputation of right little finger, subsequent encounter",4,N,,,['Injury or Poisoning'],S68,S68116D,S68.116D,45583904,Condition
C2855917,ENG,P,L9352029,PF,S11666896,Y,A17806594,,,S68.123A,ICD10CM,PT,S68.123A,"Partial traumatic metacarpophalangeal amputation of left middle finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68123A,S68.123A,45559695,Condition
C2855925,ENG,P,L9362354,PF,S11666900,N,A17870415,,,S68.125A,ICD10CM,PT,S68.125A,"Partial traumatic metacarpophalangeal amputation of left ring finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68125A,S68.125A,45540553,Condition
C2855929,ENG,P,L9392928,PF,S11666917,N,A17857552,,,S68.126A,ICD10CM,PT,S68.126A,"Partial traumatic metacarpophalangeal amputation of right little finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68126A,S68.126A,45550181,Condition
C2856009,ENG,P,L9407865,PF,S11621140,Y,A17870427,,,S68.612A,ICD10CM,PT,S68.612A,"Complete traumatic transphalangeal amputation of right middle finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68612A,S68.612A,45598466,Condition
C2856021,ENG,P,L9407859,PF,S11621119,N,A17857562,,,S68.615A,ICD10CM,PT,S68.615A,"Complete traumatic transphalangeal amputation of left ring finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68615A,S68.615A,45535726,Condition
C2856025,ENG,P,L9397639,PF,S11621136,N,A17870429,,,S68.616A,ICD10CM,PT,S68.616A,"Complete traumatic transphalangeal amputation of right little finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68616A,S68.616A,45593634,Condition
C2856034,ENG,P,L9336445,PF,S11621128,Y,A17857565,,,S68.618A,ICD10CM,PT,S68.618A,"Complete traumatic transphalangeal amputation of other finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68618A,S68.618A,45593635,Condition
C2856044,ENG,P,L9413439,PF,S11666983,N,A17781038,,,S68.620D,ICD10CM,PT,S68.620D,"Partial traumatic transphalangeal amputation of right index finger, subsequent encounter",4,N,,,['Injury or Poisoning'],S68,S68620D,S68.620D,45579082,Condition
C2856065,ENG,P,L9352035,PF,S11666969,Y,A17781042,,,S68.625S,ICD10CM,PT,S68.625S,"Partial traumatic transphalangeal amputation of left ring finger, sequela",4,N,,,['Injury or Poisoning'],S68,S68625S,S68.625S,45598470,Condition
C2856071,ENG,P,L9403100,PF,S11666960,N,A17832298,,,S68.627A,ICD10CM,PT,S68.627A,"Partial traumatic transphalangeal amputation of left little finger, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68627A,S68.627A,45598471,Condition
C2856073,ENG,P,L9403101,PF,S11666961,N,A17781044,,,S68.627S,ICD10CM,PT,S68.627S,"Partial traumatic transphalangeal amputation of left little finger, sequela",4,N,,,['Injury or Poisoning'],S68,S68627S,S68.627S,45598472,Condition
C2856077,ENG,P,L9341892,PF,S11666979,Y,A17793720,,,S68.628D,ICD10CM,PT,S68.628D,"Partial traumatic transphalangeal amputation of other finger, subsequent encounter",4,N,,,['Injury or Poisoning'],S68,S68628D,S68.628D,45554983,Condition
C2856086,ENG,P,L9346534,PF,S11621099,N,A17819478,,,S68.711A,ICD10CM,PT,S68.711A,"Complete traumatic transmetacarpal amputation of right hand, initial encounter",4,N,,,['Injury or Poisoning'],S68,S68711A,S68.711A,45569402,Condition
C2856118,ENG,P,L9392624,PF,S11664394,Y,A18914476,,,S69.81XD,ICD10CM,PT,S69.81XD,"Other specified injuries of right wrist, hand and finger(s), subsequent encounter",4,N,,,['Injury or Poisoning'],S69,S6981XD,S69.81XD,45608081,Condition
C2856136,ENG,P,L9365280,PF,S11691247,Y,A18924937,,,S69.92XS,ICD10CM,PT,S69.92XS,"Unspecified injury of left wrist, hand and finger(s), sequela",4,N,,,['Injury or Poisoning'],S69,S6992XS,S69.92XS,45559704,Condition
C2856142,ENG,P,L9346729,PF,S11622861,Y,A18906583,,,S70.01XD,ICD10CM,PT,S70.01XD,"Contusion of right hip, subsequent encounter",4,N,,,['Injury or Poisoning'],S70,S7001XD,S70.01XD,45593637,Condition
C2856155,ENG,P,L9408039,PF,S11622686,Y,A18924940,,,S70.12XD,ICD10CM,PT,S70.12XD,"Contusion of left thigh, subsequent encounter",4,N,,,['Injury or Poisoning'],S70,S7012XD,S70.12XD,45583917,Condition
C2856162,ENG,P,L9345428,PF,S11611228,Y,A17819491,,,S70.212D,ICD10CM,PT,S70.212D,"Abrasion, left hip, subsequent encounter",4,N,,,['Injury or Poisoning'],S70,S70212D,S70.212D,45583918,Condition
C2856180,ENG,P,L9397033,PF,S11616196,Y,A17781060,,,S70.229S,ICD10CM,PT,S70.229S,"Blister (nonthermal), unspecified hip, sequela",4,N,,,['Injury or Poisoning'],S70,S70229S,S70.229S,45574310,Condition
C2856196,ENG,P,L9343753,PF,S11682452,Y,A17845041,,,S70.251D,ICD10CM,PT,S70.251D,"Superficial foreign body, right hip, subsequent encounter",4,N,,,['Injury or Poisoning'],S70,S70251D,S70.251D,45564571,Condition
C2856200,ENG,P,L9404940,PF,S11682416,Y,A17857586,,,S70.252D,ICD10CM,PT,S70.252D,"Superficial foreign body, left hip, subsequent encounter",4,N,,,['Injury or Poisoning'],S70,S70252D,S70.252D,45550189,Condition
C2856208,ENG,P,L9379903,PF,S11641798,Y,A17806636,,,S70.261S,ICD10CM,PT,S70.261S,"Insect bite (nonvenomous), right hip, sequela",4,N,,,['Injury or Poisoning'],S70,S70261S,S70.261S,45564572,Condition
C2856222,ENG,P,L9362206,PF,S11665614,Y,A17819498,,,S70.272A,ICD10CM,PT,S70.272A,"Other superficial bite of hip, left hip, initial encounter",4,N,,,['Injury or Poisoning'],S70,S70272A,S70.272A,45583922,Condition
C2856228,ENG,P,L9351878,PF,S11665623,Y,A17793739,,,S70.279S,ICD10CM,PT,S70.279S,"Other superficial bite of hip, unspecified hip, sequela",4,N,,,['Injury or Poisoning'],S70,S70279S,S70.279S,45550191,Condition
C2856230,ENG,P,L9406742,PF,S11611274,Y,A17793741,,,S70.311A,ICD10CM,PT,S70.311A,"Abrasion, right thigh, initial encounter",4,N,,,['Injury or Poisoning'],S70,S70311A,S70.311A,45559713,Condition
C2856232,ENG,P,L9386513,PF,S11611275,Y,A17793742,,,S70.311S,ICD10CM,PT,S70.311S,"Abrasion, right thigh, sequela",4,N,,,['Injury or Poisoning'],S70,S70311S,S70.311S,45579088,Condition
C2856234,ENG,P,L9386508,PF,S11611240,Y,A17870457,,,S70.312D,ICD10CM,PT,S70.312D,"Abrasion, left thigh, subsequent encounter",4,N,,,['Injury or Poisoning'],S70,S70312D,S70.312D,45588767,Condition
C2856250,ENG,P,L9356241,PF,S11616211,Y,A17781071,,,S70.329A,ICD10CM,PT,S70.329A,"Blister (nonthermal), unspecified thigh, initial encounter",4,N,,,['Injury or Poisoning'],S70,S70329A,S70.329A,45574314,Condition
C2856255,ENG,P,L9399391,PF,S11635739,Y,A17781072,,,S70.341A,ICD10CM,PT,S70.341A,"External constriction, right thigh, initial encounter",4,N,,,['Injury or Poisoning'],S70,S70341A,S70.341A,45588770,Condition
C2856260,ENG,P,L9389355,PF,S11635705,Y,A17793746,,,S70.342D,ICD10CM,PT,S70.342D,"External constriction, left thigh, subsequent encounter",4,N,,,['Injury or Poisoning'],S70,S70342D,S70.342D,45574315,Condition
C2856280,ENG,P,L9369665,PF,S11641810,Y,A17857598,,,S70.361S,ICD10CM,PT,S70.361S,"Insect bite (nonvenomous), right thigh, sequela",4,N,,,['Injury or Poisoning'],S70,S70361S,S70.361S,45603311,Condition
C2856296,ENG,P,L9382872,PF,S11665685,Y,A17781076,,,S70.372S,ICD10CM,PT,S70.372S,"Other superficial bite of left thigh, sequela",4,N,,,['Injury or Poisoning'],S70,S70372S,S70.372S,45569411,Condition
C2856299,ENG,P,L9372574,PF,S11665905,Y,A17870464,,,S70.379D,ICD10CM,PT,S70.379D,"Other superficial bite of unspecified thigh, subsequent encounter",4,N,,,['Injury or Poisoning'],S70,S70379D,S70.379D,45569412,Condition
C2856308,ENG,P,L9416701,PF,S11694726,Y,A17857607,,,S70.912D,ICD10CM,PT,S70.912D,"Unspecified superficial injury of left hip, subsequent encounter",4,N,,,['Injury or Poisoning'],S70,S70912D,S70.912D,45564576,Condition
C2856311,ENG,P,L9596495,PF,S12058072,Y,A18924941,,,S70.919A,ICD10CM,PT,S70.919A,"Unspecified superficial injury of unspecified hip, initial encounter",4,N,,,['Injury or Poisoning'],S70,S70919A,S70.919A,45608092,Condition
C2856324,ENG,P,L9595418,PF,S12058080,Y,A18914483,,,S70.929A,ICD10CM,PT,S70.929A,"Unspecified superficial injury of unspecified thigh, initial encounter",4,N,,,['Injury or Poisoning'],S70,S70929A,S70.929A,45554986,Condition
C2856334,ENG,P,L9375929,PF,S11693717,Y,A17819516,,,S71.002D,ICD10CM,PT,S71.002D,"Unspecified open wound, left hip, subsequent encounter",4,N,,,['Injury or Poisoning'],S71,S71002D,S71.002D,45559722,Condition
C2856337,ENG,P,L9355247,PF,S11693763,Y,A17857609,,,S71.009A,ICD10CM,PT,S71.009A,"Unspecified open wound, unspecified hip, initial encounter",4,N,,,['Injury or Poisoning'],S71,S71009A,S71.009A,45535738,Condition
C2856364,ENG,P,L9400461,PF,S11644835,Y,A17857612,,,S71.029D,ICD10CM,PT,S71.029D,"Laceration with foreign body, unspecified hip, subsequent encounter",4,N,,,['Injury or Poisoning'],S71,S71029D,S71.029D,45588773,Condition
C2856370,ENG,P,L9414534,PF,S11676284,Y,A17832337,,,S71.031S,ICD10CM,PT,S71.031S,"Puncture wound without foreign body, right hip, sequela",4,N,,,['Injury or Poisoning'],S71,S71031S,S71.031S,45574324,Condition
C2856393,ENG,P,L9594609,PF,S12055722,Y,A18909208,,,S71.051A,ICD10CM,PT,S71.051A,"Open bite, right hip, initial encounter",4,N,,,['Injury or Poisoning'],S71,S71051A,S71.051A,45550196,Condition
C2856397,ENG,P,L9592948,PF,S12055716,Y,A18922312,,,S71.052D,ICD10CM,PT,S71.052D,"Open bite, left hip, subsequent encounter",4,N,,,['Injury or Poisoning'],S71,S71052D,S71.052D,45554989,Condition
C2856409,ENG,P,L9386077,PF,S11693727,Y,A17870469,,,S71.102A,ICD10CM,PT,S71.102A,"Unspecified open wound, left thigh, initial encounter",4,N,,,['Injury or Poisoning'],S71,S71102A,S71.102A,45535740,Condition
C2856410,ENG,P,L9355240,PF,S11693729,Y,A17781091,,,S71.102D,ICD10CM,PT,S71.102D,"Unspecified open wound, left thigh, subsequent encounter",4,N,,,['Injury or Poisoning'],S71,S71102D,S71.102D,45608099,Condition
C2856411,ENG,P,L9375932,PF,S11693728,Y,A17832349,,,S71.102S,ICD10CM,PT,S71.102S,"Unspecified open wound, left thigh, sequela",4,N,,,['Injury or Poisoning'],S71,S71102S,S71.102S,45535741,Condition
C2856419,ENG,P,L9370050,PF,S11645413,Y,A17870471,,,S71.111D,ICD10CM,PT,S71.111D,"Laceration without foreign body, right thigh, subsequent encounter",4,N,,,['Injury or Poisoning'],S71,S71111D,S71.111D,45579095,Condition
C2856422,ENG,P,L9349436,PF,S11645387,Y,A17845077,,,S71.112A,ICD10CM,PT,S71.112A,"Laceration without foreign body, left thigh, initial encounter",4,N,,,['Injury or Poisoning'],S71,S71112A,S71.112A,45583931,Condition
C2856426,ENG,P,L9339272,PF,S11645435,Y,A17781093,,,S71.119A,ICD10CM,PT,S71.119A,"Laceration without foreign body, unspecified thigh, initial encounter",4,N,,,['Injury or Poisoning'],S71,S71119A,S71.119A,45550198,Condition
C2856431,ENG,P,L9400459,PF,S11644821,Y,A17819531,,,S71.121A,ICD10CM,PT,S71.121A,"Laceration with foreign body, right thigh, initial encounter",4,N,,,['Injury or Poisoning'],S71,S71121A,S71.121A,45579096,Condition
C2856445,ENG,P,L9343048,PF,S11676297,Y,A17832352,,,S71.131D,ICD10CM,PT,S71.131D,"Puncture wound without foreign body, right thigh, subsequent encounter",4,N,,,['Injury or Poisoning'],S71,S71131D,S71.131D,45583933,Condition
C2856449,ENG,P,L9373802,PF,S11676273,Y,A17806668,,,S71.132D,ICD10CM,PT,S71.132D,"Puncture wound without foreign body, left thigh, subsequent encounter",4,N,,,['Injury or Poisoning'],S71,S71132D,S71.132D,45588778,Condition
C2856462,ENG,P,L9343000,PF,S11675713,Y,A17845081,,,S71.142D,ICD10CM,PT,S71.142D,"Puncture wound with foreign body, left thigh, subsequent encounter",4,N,,,['Injury or Poisoning'],S71,S71142D,S71.142D,45574327,Condition
C2856473,ENG,P,L9596795,PF,S12055718,Y,A18922315,,,S71.152A,ICD10CM,PT,S71.152A,"Open bite, left thigh, initial encounter",4,N,,,['Injury or Poisoning'],S71,S71152A,S71.152A,45545410,Condition
C2856475,ENG,P,L9595144,PF,S12055719,Y,A18911835,,,S71.152S,ICD10CM,PT,S71.152S,"Open bite, left thigh, sequela",4,N,,,['Injury or Poisoning'],S71,S71152S,S71.152S,45588780,Condition
C2856486,ENG,P,L9369165,PF,S11637613,Y,A17781107,,,S72.001E,ICD10CM,PT,S72.001E,"Fracture of unspecified part of neck of right femur, subsequent encounter for open fracture type I or II with routine healing",4,N,,,['Injury or Poisoning'],S72,S72001E,S72.001E,45574330,Condition
C2856488,ENG,P,L9348546,PF,S11637606,Y,A17806675,,,S72.001G,ICD10CM,PT,S72.001G,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S72,S72001G,S72.001G,45535747,Condition
C2856494,ENG,P,L9348547,PF,S11637607,Y,A17832358,,,S72.001P,ICD10CM,PT,S72.001P,"Fracture of unspecified part of neck of right femur, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S72,S72001P,S72.001P,45569419,Condition
C2856518,ENG,P,L9369168,PF,S11637621,Y,A17781111,,,S72.009C,ICD10CM,PT,S72.009C,"Fracture of unspecified part of neck of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",4,N,,,['Injury or Poisoning'],S72,S72009C,S72.009C,45598495,Condition
C2856534,ENG,P,L9344867,PF,S11692394,Y,A17806684,,,S72.011A,ICD10CM,PT,S72.011A,"Unspecified intracapsular fracture of right femur, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S72,S72011A,S72.011A,45564584,Condition
C2856538,ENG,P,L9344868,PF,S11692405,Y,A17781112,,,S72.011E,ICD10CM,PT,S72.011E,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with routine healing",4,N,,,['Injury or Poisoning'],S72,S72011E,S72.011E,45564585,Condition
C2856541,ENG,P,L9375756,PF,S11692402,Y,A17819543,,,S72.011H,ICD10CM,PT,S72.011H,"Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing",4,N,,,['Injury or Poisoning'],S72,S72011H,S72.011H,45535751,Condition
C2856549,ENG,P,L9375755,PF,S11692397,Y,A17806685,,,S72.011S,ICD10CM,PT,S72.011S,"Unspecified intracapsular fracture of right femur, sequela",4,N,,,['Injury or Poisoning'],S72,S72011S,S72.011S,45593660,Condition
C2856593,ENG,P,L9378377,PF,S11628611,N,A17793787,,,S72.021H,ICD10CM,PT,S72.021H,"Displaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type I or II with delayed healing",4,N,,,['Injury or Poisoning'],S72,S72021H,S72.021H,45569423,Condition
