code,code_type,description,concept_id,code_class
I06.0,ICD10CM,Rheumatic aortic stenosis,35207648,valv
I07.1,ICD10CM,Rheumatic tricuspid insufficiency,35207654,valv
A52.04,ICD10CM,Syphilitic cerebral arteritis,45600418,valv
I05.9,ICD10CM,"Rheumatic mitral valve disease, unspecified",35207647,valv
I08.3,ICD10CM,"Combined rheumatic disorders of mitral, aortic and tricuspid valves",35207661,valv
I34.0,ICD10CM,Nonrheumatic mitral (valve) insufficiency,35207728,valv
I28.9,ICD10CM,"Disease of pulmonary vessels, unspecified",35207714,pcd
I26.99,ICD10CM,Other pulmonary embolism without acute cor pulmonale,45572084,pcd
I27.82,ICD10CM,Chronic pulmonary embolism,45533441,pcd
I27.81,ICD10CM,Cor pulmonale (chronic),45601029,pcd
I26.01,ICD10CM,Septic pulmonary embolism with acute cor pulmonale,45572083,pcd
I26.90,ICD10CM,Septic pulmonary embolism without acute cor pulmonale,45605789,pcd
I26.93,ICD10CM,Single subsegmental thrombotic pulmonary embolism without acute cor pulmonale,1553749,pcd
I27.9,ICD10CM,"Pulmonary heart disease, unspecified",35207710,pcd
I28.0,ICD10CM,Arteriovenous fistula of pulmonary vessels,35207711,pcd
I27.24,ICD10CM,Chronic thromboembolic pulmonary hypertension,1326596,pcd
I27.21,ICD10CM,Secondary pulmonary arterial hypertension,1326593,pcd
I27.23,ICD10CM,Pulmonary hypertension due to lung diseases and hypoxia,1326595,pcd
I27.83,ICD10CM,Eisenmenger's syndrome,1326598,pcd
I27.1,ICD10CM,Kyphoscoliotic heart disease,35207708,pcd
I27.89,ICD10CM,Other specified pulmonary heart diseases,45533442,pcd
I26.92,ICD10CM,Saddle embolus of pulmonary artery without acute cor pulmonale,45552786,pcd
I27.0,ICD10CM,Primary pulmonary hypertension,35207707,pcd
I27.29,ICD10CM,Other secondary pulmonary hypertension,1326597,pcd
I28.8,ICD10CM,Other diseases of pulmonary vessels,35207713,pcd
I26.09,ICD10CM,Other pulmonary embolism with acute cor pulmonale,45586576,pcd
I26.02,ICD10CM,Saddle embolus of pulmonary artery with acute cor pulmonale,45557540,pcd
I27.22,ICD10CM,Pulmonary hypertension due to left heart disease,1326594,pcd
I27.20,ICD10CM,"Pulmonary hypertension, unspecified",1326592,pcd
I26.94,ICD10CM,Multiple subsegmental thrombotic pulmonary emboli without acute cor pulmonale,1553750,pcd
I70.91,ICD10CM,Generalized atherosclerosis,45601080,pvd
I70.208,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, other extremity",45591494,pvd
I70.263,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, bilateral legs",45552823,pvd
I70.308,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",45552827,pvd
I70.321,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg",45576903,pvd
I70.342,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf,45538423,pvd
I70.393,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",45601068,pvd
I70.398,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",45591499,pvd
I70.419,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",45601069,pvd
I70.422,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, left leg",45562395,pvd
I70.428,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, other extremity",45576908,pvd
I70.435,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of foot,45576909,pvd
I70.45,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of other extremity with ulceration,45572123,pvd
I70.463,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, bilateral legs",45601071,pvd
I70.468,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other extremity",45581803,pvd
