"Code","Description","id"
"A5008","Early visceral congenital syphilis",299
"A5009","Other early congenital syphilis, symptomatic",300
"A501","Early congenital syphilis, latent",301
"A502","Early congenital syphilis, unspecified",302
"A5030","Late congenital syphilitic oculopathy, unspecified",303
"A5031","Late congenital syphilitic interstitial keratitis",304
"A5032","Late congenital syphilitic chorioretinitis",305
"A5039","Other late congenital syphilitic oculopathy",306
"A5040","Late congenital neurosyphilis, unspecified",307
"A5041","Late congenital syphilitic meningitis",308
"A5042","Late congenital syphilitic encephalitis",309
"A5043","Late congenital syphilitic polyneuropathy",310
"A5044","Late congenital syphilitic optic nerve atrophy",311
"A5045","Juvenile general paresis",312
"A5049","Other late congenital neurosyphilis",313
"A5051","Clutton's joints",314
"A5052","Hutchinson's teeth",315
"A5053","Hutchinson's triad",316
"A5054","Late congenital cardiovascular syphilis",317
"A5055","Late congenital syphilitic arthropathy",318
"A5056","Late congenital syphilitic osteochondropathy",319
"A5057","Syphilitic saddle nose",320
"A5059","Other late congenital syphilis, symptomatic",321
"A506","Late congenital syphilis, latent",322
"A507","Late congenital syphilis, unspecified",323
"A509","Congenital syphilis, unspecified",324
"A510","Primary genital syphilis",325
"A511","Primary anal syphilis",326
"A512","Primary syphilis of other sites",327
"A5131","Condyloma latum",328
"A5132","Syphilitic alopecia",329
"A5139","Other secondary syphilis of skin",330
"A5141","Secondary syphilitic meningitis",331
"A5142","Secondary syphilitic female pelvic disease",332
"A5143","Secondary syphilitic oculopathy",333
"A5144","Secondary syphilitic nephritis",334
"A5145","Secondary syphilitic hepatitis",335
"A5146","Secondary syphilitic osteopathy",336
"A5149","Other secondary syphilitic conditions",337
"A515","Early syphilis, latent",338
"A519","Early syphilis, unspecified",339
"A5200","Cardiovascular syphilis, unspecified",340
"A5201","Syphilitic aneurysm of aorta",341
"A5202","Syphilitic aortitis",342
"A5203","Syphilitic endocarditis",343
"A5204","Syphilitic cerebral arteritis",344
"A5205","Other cerebrovascular syphilis",345
"A5206","Other syphilitic heart involvement",346
"A5209","Other cardiovascular syphilis",347
"A5210","Symptomatic neurosyphilis, unspecified",348
"A5211","Tabes dorsalis",349
"A5212","Other cerebrospinal syphilis",350
"A5213","Late syphilitic meningitis",351
"A5214","Late syphilitic encephalitis",352
"A5215","Late syphilitic neuropathy",353
"A5216","Charcot's arthropathy (tabetic)",354
"A5217","General paresis",355
"A5219","Other symptomatic neurosyphilis",356
"A522","Asymptomatic neurosyphilis",357
"A523","Neurosyphilis, unspecified",358
"A5271","Late syphilitic oculopathy",359
"A5272","Syphilis of lung and bronchus",360
"A5273","Symptomatic late syphilis of other respiratory organs",361
"A5274","Syphilis of liver and other viscera",362
"A5275","Syphilis of kidney and ureter",363
"A5276","Other genitourinary symptomatic late syphilis",364
"A5277","Syphilis of bone and joint",365
"A5278","Syphilis of other musculoskeletal tissue",366
